ENTREPRISE;PROJET;THEMATIQUE;PAGE;VAGUE;LOCALISATION;MONTANT_PROJET;MONTANT_AIDE;REALISATION;ACTIVITE_ENTREPRISE;OBJECTIF_PROJET
fludia;fusini;énergies renouvelables, stockage et systèmes énergétiques;14;1;SURESNES (92); 774 000 €; 348 300 €; 2018 - 2020;"Fludia conçoit des technologies numériques, Smart Sensors et Smart Data,
dédiées à la mesure et l’analyse des consommations énergétiques, ciblées 
sur les petits et moyens bâtiments. Elles permettent de comprendre et 
réduire les consommations grâce à la collecte de données précises et leur 
analyse via des modules algorithmiques spécialisés.";"Le projet FUSINI (FUSion d’Indicateurs Non-Intrusifs) consiste à développer
un système embarqué de fusion de données énergétiques multi-fluides. 
L’objectif est de réaliser des traitements data analytics locaux à partir d’une 
combinaison de données locales (Linky, Gaspar, compteurs traditionnels 
à l’international, mini-capteurs plug&play) et générer des contenus 
interprétés à forte valeur, directement exploitables par les solutions de 
Smart Monitoring."
forseti sas;doctrine.eu;numérique;61;1;PARIS (75); 4 999 944;; 2018 - 2021;"Doctrine développe un logiciel d’anonymisation en machine learning afin 
d’anonymiser automatiquement les décisions de justice françaises et de les 
rendre accessibles aux citoyens conformément au règlement RGPD.
L’intelligence artificielle de Doctrine apprend des recherches passées pour 
proposer à chaque client une veille juridique quotidienne ultra personnalisée.";"Notre ambition est de libérer le droit en rendant accessibles des millions 
de jugements.
En Europe, seulement 1% des décisions de justice sont accessibles au 
citoyen. L’obligation européenne d’anonymisation, renforcée par la RGPD, 
freine l’ouverture du droit.
Doctrine a donc développé une solution d’anonymisation utilisant le 
machine learning. Nos algorithmes apprennent les structures du langage 
pour anonymiser de manière automatique.
Doctrine offre aussi un logiciel de recherche multilingue et multi système 
juridique pour permettre à chacun d’interpréter le droit des autres pays 
comme du sien."
georges.tech sas;georges;numérique;62;1;LYON (69); 1 766 281 €;; 2018 - 2020;"Georges est le premier robot comptable : une application en ligne capable 
d’automatiser la comptabilité et les déclarations fiscales des petites 
entreprises. Grâce à une intelligence artificielle, le logiciel effectue la saisie 
comptable en pilote automatique. L’indépendant contrôle le travail de son 
robot pour télétransmettre sa déclaration fiscale.";"Le robot comptable est une véritable désintermédiation du cabinet 
comptable qui va provoquer une rupture technologique et économique 
majeure sur le marché de l’expertise-comptable grâce à un prix jusqu’à 7 
fois inférieur. Le projet de recherche vise à lever les risques et les freins 
techniques pour industrialiser le prototype actuel. Les axes de recherche 
concernent l’automatisation de la TVA, le classement automatique des 
transactions, et l’appairage automatique de flux comptables. Les travaux 
s’appuient sur l’intelligence artificielle par apprentissage supervisé, mais 
aussi sur les apports de la statistique et de la théorie des graphes."
go touch vr;go touch vr 5g;numérique;63;1;NORD (59); 1 903 000;; 2018 - 2021;"GO TOUCH VR propose des solutions et dispositifs haptiques (du toucher) 
pour des applications à la réalité virtuelle et à la réalité augmentée. 
GO TOUCH VR se concentre sur les secteurs de la formation, de l’ingénierie, 
du show casing et de l’interaction entre les données.";"La réduction du délai de latence, la vitesse et la capacité de la 5G laissent 
entrevoir des opportunités formidables pour les applications fonctionnant en 
temps réel. La 5G devrait améliorer les expériences existantes et permettre 
de nouvelles applications impossibles à développer à ce jour.
Le projet de GO TOUCH VR est de permettre à l’haptique de profiter du 
potentiel de cette innovation."
gulplug;selfplug;transport et mobilité durable;32;1;GRENOBLE (38); 752 960 €; 338 832 €; 2018 - 2020;"GULPLUG s’est constituée en 2014 autour de l’idée d’une nouvelle façon de 
connecter les machines électriques : simple, rapide et sûre, à l’univers des 
données (Internet of Things) autant qu’à l’énergie (réseau électrique 230V de 
manière automatique), à partir de technologies issues de Schneider Electric.";"Le projet SELFPLUG s’inscrit dans la continuité du projet IPME P-PLATE 
et vise un changement d’échelle, pour passer de la preuve de concept de la 
recharge automatique magnétique par conduction à des expérimentations 
clients. Des verrous technologiques sont encore à lever : 22 kW, courants 
faibles et sureté de fonctionnement (sécurité électrique même en cas de 
défaillances, étanchéité à l’eau et aux limailles métalliques). Plusieurs 
applications sont à considérer : voitures EV/PHEV, navettes autonomes, 
flottes professionnelles, robots et véhicules industriels. Les services associés 
à développer seront un facteur clef de succès : efficacité énergétique, alertes 
prédictives, interface homme machine."
h-prec sas;blok;french fab;95;1;CARROS (06510); 610 038 €;; 2018 - 2020;"H-PreC fabrique des composites grâce à un procédé primé au JECWORLD2017. 
Les composites sont très demandés mais il faut optimiser leur fabrication 
pour rendre ces matériaux aussi compétitifs que les métaux. Fort de ce 
constat nous avons développé une technologie de rupture apportant une 
nouvelle génération de composites à l’industrie.";"L’objectif du projet est de développer une nouvelle technologie de fabrication 
de composites pour faire entrer ce matériau dans l’industrie du futur. Le 
composite fabriqué avec la technologie H-PreC BloK® atteint la qualité 
nécessaire à la fabrication de pièces techniques massives et ce grâce à 
l’utilisation de fibres continues. 
Dans les transports le gain de masse diminue la consommation énergétique 
et améliore les capacités des véhicules. Dans l’industrie les composites 
améliorent les performances des appareils en les rendant plus résistants, 
plus pérennes et en permettant de basculer le gain de masse fait sur le 
châssis vers une amélioration des fonctionnalités."
hawk;solarwatch;énergies renouvelables, stockage et systèmes énergétiques;15;1;BORDEAUX (33); 670 862 €; 295 494 €; 2018 - 2019;"HAWK porte la vision du Drone-As-A-Service.
Les drones permettent de capter de la donnée à moindre coût. Ils s’inscrivent
dans la digitalisation de processus et d’assets et concourent à l’industrie 4.0.
La place de marché de HAWK rassemble des milliers de prestataires de 
services professionnels de drones, mobilisables à la demande.";"800 000 panneaux photovoltaïques sont installés par jour dans le monde. 
Il y en a au total 1,4 milliard et ce chiffre aura doublé en 2021.
Dans le cas d’installations dépassant 1 MW, les inspections de maintenance
au sol par des techniciens sont devenues fastidieuses et coûteuses. Pourtant,
elles s’avèrent nécessaires au maintien en conditions opérationnelles, garant
de l’efficacité énergétique.
En combinant la numérisation automatique des sites photovoltaïques, 
la conception de plans de contrôles, la planification de missions drones, 
l’identification des défauts par intelligence artificielle puis le pilotage 
d’indicateurs, la plateforme SolarWatch contribuera à la réduction des coûts 
d’inspection."
infolegale;complify;numérique;64;1;LYON (69); 2 864 304;; 2018 - 2021;"Infolegale est spécialisée dans le renseignement BtoB et plus 
particulièrement dans la production et la diffusion d’informations légales, 
capitalistiques et financières sur les entreprises et leurs dirigeants. En 10 
ans, Infolegale a su s’imposer comme la référence agile et innovante à forte 
valeur ajoutée du marché.";"Le projet COMPLIFY s’inscrit dans un contexte d’intensification de la lutte 
contre le blanchiment, la corruption et la fraude. Ce projet vise à apporter 
une offre globale de fiabilisation des risques tiers, en s’appuyant sur des 
technologies telles que le machine learning et la blockchain. 
La société dispose de toutes les compétences nécessaires pour la bonne 
réalisation de ce projet : une expertise incontestable sur le renseignement 
des entreprises, des données d’entrée de grande qualité, des compétences 
informatiques fortes sur les nouvelles technologies, et une collaboration 
universitaire (LIRIS).
Grâce à ce projet, Infolegale deviendra une RegTech (Regulatory Technology) 
de référence."
iot.bzh;silex;numérique;65;1;MORBIHAN (56); 779 000 €;; 2018 - 2020;"IoT.bzh conçoit des outils de développement open source pour les 
applications sécurisées de l’Internet des Objets Industriels. L’objectif d’IoT.
bzh est de simplifier la mise en œuvre d’un modèle de vérification de la 
conformité et de la cybersécurité sur le très long terme dans le monde des 
objets industriels connectés.";"Le projet SILEX vise à mettre à disposition des industriels et des intégrateurs 
de solutions communicantes d’IoT industriel, une plateforme de vérification 
continue de la conformité de bout en bout, aussi bien au niveau fonctionnel 
que cybersécurité. L’objectif est de commencer par le marché automobile 
puis de généraliser le concept aux autres acteurs de l’IoT industriel 
(militaire, maritime, agriculture, énergie). Nous planifions une mise en place 
de la plateforme SILEX sous 18 mois pour rester en phase avec l’évolution 
du marché automobile. SILEX permettra de passer l’équipe de 12 à 40 
personnes sur le pays de Lorient en 5 ans."
ixsane;emilie;écosystèmes terrestres, aquatiques et marins;50;1;NORD (59); 786 300 €; 353 835 €; 2018 - 2020;"Ixsane est une société d’études et d’ingénieurs conseils dans le domaine de 
l’Ingénierie Urbaine et Environnementale impliquée depuis sa création dans 
des projets d’innovation pour contribuer à l’avancée des connaissances et à 
la mise au point de solutions pour répondre aux enjeux environnementaux et 
sociaux de notre temps.";"Le projet EMILE vise à accélérer le développement industriel d’une solution 
de gestion dynamique des réseaux d’assainissement. Cette solution utilisera 
l’Intelligence Artificielle et la mesure en temps réel des conditions de 
fonctionnement, sans recourir aux simulations/prévisions de précipitations, 
pour limiter le rejet d’effluents non traités dans le milieu naturel des petites 
et moyennes communes. Le projet aboutira au développement d’une 
technologie opérationnelle et à la réalisation d’une maquette preuve de 
concept à l’échelle industrielle permettant de tester et valider des situations 
réelles."
